52,03, 16 ,A,Temperature,4,28A1EFC406000026,031609,49.979992,19.676721,211.75,A4B100F015D500C00347
53,03, 16 ,A,Temperature,4,28D9E0C3060000F6,031610,49.979992,19.676721,213.75,A4B100F015D500C00347
54,03, 16 ,A,Temperature,4,28DD54C30600007A,031611,49.979992,19.676721,214.75,A4B100F015D500C00347
55,03, 16 ,A,Temperature,4,28B335C4060000F0,031612,49.979993,19.676596,211.84,A1B000F015D550C00325
56,03, 16 ,A,Temperature,4,28C729C4060000E9,031613,49.979992,19.676763,211.87,A3B100F015D350C00342
57,03, 18 ,A,Temperature,4,28DA5EC50600004B,031800,49.980082,19.676681,213.78,A3B100F015D500C00143
58,03, 18 ,A,Temperature,4,288E54C40600008B,031801,49.980082,19.676597,211.87,A1B000F015D550C00479
59,03, 18 ,A,Temperature,4,288EB5C30600001A,031802,49.980082,19.676681,211.78,A3B100F015D500C00143
60,03, 18 ,A,Temperature,4,28A3F7C40600000A,031803,49.980082,19.676639,211.88,A2B100F015D350C00104
61,03, 18 ,A,Temperature,4,288FD8C3060000D0,031804,49.980082,19.676639,212.88,A2B100F015D350C00104
62,03, 18 ,A,Temperature,4,288F8CC4060000DC,031805,49.980082,19.676681,212.78,A3B100F015D500C00143
63,03, 26 ,A,Temperature,4,28121CD30600002E,032600,49.980446,19.676644,212.83,A2B100F015D350C00173
64,03, 26 ,A,Temperature,4,28C629C4060000DE,032601,49.980446,19.676602,211.61,A1B000F015D550C00030
65,03, 26 ,A,Temperature,4,28CDD0C406000073,032602,49.980446,19.676644,211.83,A2B100F015D350C00173
66,03, 34 ,B,Temperature,4,28A815C4060000AB,033400,49.980569,19.677067,211.82,A3B100F015D350C00459
67,03, 34 ,B,Temperature,4,289850C40600007D,033401,49.980568,19.67717,211.72,A3B100F015D500C00399
68,03, 34 ,B,Temperature,4,28D81CD30600007E,033402,49.980568,19.677116,211.66,A4B100F015D500C00314
70,03, 34 ,B,Temperature,4,28CC99C40600005E,033404,49.980568,19.677116,213.66,A4B100F015D500C00314
71,03, 34 ,B,Temperature,4,288A19C406000052,033405,49.980569,19.677015,211.86,A1B000F015D550C00079
72,03, 34 ,B,Temperature,4,282EC8C406000041,033406,49.980568,19.67717,212.72,A3B100F015D500C00399
73,03, 34 ,B,Temperature,4,286E1D44070000CA,033407,49.980567,19.677244,211.98,A1B000F000D450C00483
75,03, 34 ,B,Temperature,4,281542C5060000AD,033409,49.980567,19.677206,211.82,A2B100F015D350C00017
76,03, 34 ,B,Temperature,4,28ADDFC4060000DF,033410,49.980568,19.677116,214.66,A4B100F015D500C00314
77,03, 34 ,B,Temperature,4,280378C50600007D,033411,49.980568,19.67717,213.72,A3B100F015D500C00399
78,03, 34 ,B,Temperature,4,283348C40600009B,033412,49.980567,19.677206,212.82,A2B100F015D350C00017
79,03, 34 ,B,Temperature,4,28DBBBC4060000FB,033413,49.980569,19.677067,213.82,A3B100F015D350C00459
80,03, 34 ,B,Temperature,4,28E774C5060000A9,033414,49.980569,19.677067,212.82,A3B100F015D350C00459
81,03, 35 ,B,Temperature,4,2830C7C406000066,033500,49.980521,19.677206,212.9,A2B100F015D350C00469
82,03, 35 ,B,Temperature,4,28886FC30600004B,033501,49.980521,19.677244,211.97,A1B000F015D550C00080
83,03, 35 ,B,Temperature,4,280C1FC506000019,033502,49.980522,19.677117,212.78,A4B100F015D500C00310
84,03, 35 ,B,Temperature,4,2872E0C306000052,033503,49.980523,19.677067,211.87,A3B100F015D350C00335
85,03, 35 ,B,Temperature,4,28C65244070000B1,033504,49.980521,19.677169,211.7,A3B100F015D500C00403
86,03, 35 ,B,Temperature,4,28568BC506000050,033505,49.980523,19.677067,212.87,A3B100F015D350C00335
87,03, 35 ,B,Temperature,4,28E155C4060000A1,033506,49.980521,19.677169,212.7,A3B100F015D500C00403
88,03, 35 ,B,Temperature,4,28F17AC40600006D,033507,49.980522,19.677117,211.78,A4B100F015D500C00310
89,03, 35 ,B,Temperature,4,28C92BC5060000F6,033508,49.980523,19.677067,213.87,A3B100F015D350C00335
90,03, 35 ,B,Temperature,4,285DFFC3060000D3,033509,49.980521,19.677206,211.9,A2B100F015D350C00469
91,03, 35 ,B,Temperature,4,280333C5060000E4,033510,49.980522,19.677117,213.78,A4B100F015D500C00310
92,03, 35 ,B,Temperature,4,28C3D9C406000093,033511,49.980523,19.677015,211.83,A1B000F015D550C00083
93,03, 35 ,B,Temperature,4,2863E0430700004C,033512,49.980521,19.677169,213.7,A3B100F015D500C00403
94,03, 35 ,B,Temperature,4,28976BC30600002B,033513,49.980522,19.677117,214.78,A4B100F015D500C00310
