#korona's total length 396.638868940
#lon, lat, nazwa, 'rzutowany' metr walu
19.677241401, 49.979412658, SW_DOWN-105, 77.066364779
19.677241476, 49.979421649, SW_DOWN-106, 78.066344607
19.677241551, 49.979430641, SW_DOWN-107, 79.066324436
19.677241626, 49.979439632, SW_DOWN-108, 80.066304264
19.677241701, 49.979448623, SW_DOWN-109, 81.066284092
19.677241775, 49.979457614, SW_DOWN-110, 82.066263920
19.677241850, 49.979466606, SW_DOWN-111, 83.037945460
19.677241915, 49.979475597, SW_DOWN-112, 84.037937156
19.677241924, 49.979484588, SW_DOWN-113, 85.037907522
19.677241933, 49.979493580, SW_DOWN-114, 86.037877888
19.677241943, 49.979502571, SW_DOWN-115, 87.037848253
19.677241952, 49.979511563, SW_DOWN-116, 88.037818619
19.677241961, 49.979520554, SW_DOWN-117, 89.037788984
19.677241970, 49.979529545, SW_DOWN-118, 90.037759351
19.677241979, 49.979538537, SW_DOWN-119, 91.037729716
19.677241989, 49.979547528, SW_DOWN-120, 92.037700082
19.677241998, 49.979556519, SW_DOWN-121, 93.037670447
19.677242124, 49.979565510, SW_DOWN-122, 94.037623829
19.677242404, 49.979574500, SW_DOWN-123, 95.085609256
19.677242685, 49.979583489, SW_DOWN-124, 96.085591191
19.677242965, 49.979592479, SW_DOWN-125, 97.085573126
19.677243246, 49.979601468, SW_DOWN-126, 98.085555060
19.677243526, 49.979610458, SW_DOWN-127, 99.085536994
19.677243806, 49.979619448, SW_DOWN-128, 100.085518929
19.677244087, 49.979628437, SW_DOWN-129, 101.085500864
19.677244367, 49.979637427, SW_DOWN-130, 102.085482798
19.677244648, 49.979646416, SW_DOWN-131, 103.085464733
19.677244928, 49.979655406, SW_DOWN-132, 104.085446667
19.677245191, 49.979664396, SW_DOWN-133, 105.085434292
19.677245426, 49.979673386, SW_DOWN-134, 106.085430386
19.677245662, 49.979682376, SW_DOWN-135, 107.085426480
19.677245898, 49.979691366, SW_DOWN-136, 108.085422574
19.677246133, 49.979700356, SW_DOWN-137, 109.085418669
19.677246369, 49.979709346, SW_DOWN-138, 110.085414762
19.677246604, 49.979718336, SW_DOWN-139, 110.959106898
19.677246840, 49.979727326, SW_DOWN-140, 111.958949173
19.677247073, 49.979736317, SW_DOWN-141, 112.958793587
19.677247166, 49.979745308, SW_DOWN-142, 113.958765437
19.677247259, 49.979754299, SW_DOWN-143, 114.958737289
19.677247351, 49.979763290, SW_DOWN-144, 115.958709139
19.677247444, 49.979772281, SW_DOWN-145, 116.958680990
19.677247536, 49.979781273, SW_DOWN-146, 117.958652841
19.677247629, 49.979790264, SW_DOWN-147, 118.958624692
19.677247722, 49.979799255, SW_DOWN-148, 119.958596542
19.677247910, 49.979808245, SW_DOWN-149, 120.958492026
19.677248103, 49.979817236, SW_DOWN-150, 121.958384674
19.677248295, 49.979826227, SW_DOWN-151, 122.958277322
19.677248487, 49.979835217, SW_DOWN-152, 124.556488709
19.677248679, 49.979844208, SW_DOWN-153, 125.554966673
19.677248872, 49.979853198, SW_DOWN-154, 125.958598783
19.677249064, 49.979862189, SW_DOWN-155, 126.958484267
