loc, name, snsr name
49.980414647 19.677242181, SENSORS3-3,
49.980401234 19.677220656, SENSORS3-4,
49.980423892 19.677199279, SENSORS3-5,UT2
49.980414586 19.677199134, SENSORS3-6,
49.980401504 19.677179185, SENSORS3-7,
49.980441494 19.677164119, SENSORS3-8,
49.980424201 19.677146416, SENSORS3-9,UT3
49.980415447 19.677146278, SENSORS3-10,
49.980442235 19.677133600, SENSORS3-11,SV1
49.980424768 19.677096219, SENSORS3-12,UT4
49.980424789 19.677046014, SENSORS3-13,UT5
49.980426610 19.676802974, SENSORS3-14,UT6
49.980426868 19.676752773, SENSORS3-15,UT7
49.980442474 19.676711584, SENSORS3-16,SV2
49.980427265 19.676702574, SENSORS3-17,UT8
49.980418115 19.676702431, SENSORS3-18,
49.980443082 19.676682926, SENSORS3-19,
49.980404848 19.676666334, SENSORS3-20,
49.980427483 19.676648010, SENSORS3-21,UT9
49.980418460 19.676647867, SENSORS3-22,
49.980405119 19.676624863, SENSORS3-23,
49.980427758 19.676600662, SENSORS3-24,UT10
49.980418760 19.676600519, SENSORS3-25,
49.980405469 19.676571051, SENSORS3-26,
49.980428335 19.676501340, SENSORS3-27,
